ترقيم,رمز العرض,التخصص,الشهادة,المستوى المطلوب,نمط التكوين,التعريف بالنمط,المؤسسة,الداخلية,تاريخ البداية,تاريخ النهاية
382,206963,MME1201 - توازي وموازنة العجلات | Parallélisme et équilibrage des roues,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1919 | مركز التكوين المهني و التمهين عين أرنات | عين أرنات_سطيف,undefined,2025-02-23,2026-02-22
383,206699,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1923 | مركز التكوين المهني و التمهين قجال   | قجال_سطيف,undefined,2025-02-23,2026-02-22
384,206047,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1907 | مركز التكوين المهني و التمهين عين الحجر  | عين الحجر_سطيف,undefined,2025-02-23,2026-02-22
385,206108,MME1201 - توازي وموازنة العجلات | Parallélisme et équilibrage des roues,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1907 | مركز التكوين المهني و التمهين عين الحجر  | عين الحجر_سطيف,undefined,2025-02-23,2026-02-22
386,206838,MME1201 - توازي وموازنة العجلات | Parallélisme et équilibrage des roues,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1904 | مركز التكوين المهني و التمهين عين ولمان  | عين ولمان_سطيف,undefined,2025-02-23,2026-02-22
387,206973,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1904 | مركز التكوين المهني و التمهين عين ولمان  | عين ولمان_سطيف,undefined,2025-02-23,2026-02-22
388,206304,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1911 | مركز التكوين المهني و التمهين صالح باي  | صالح باي_سطيف,undefined,2025-02-23,2026-02-22
389,206904,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1911 | مركز التكوين المهني و التمهين صالح باي  | صالح باي_سطيف,undefined,2025-02-23,2026-02-22
390,206334,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1930 | مركز التكوين المهني و التمهين عين ازال  | عين أزال_سطيف,undefined,2025-02-23,2026-02-22
391,207128,IAA0705 - جزارة و منتجات اللحوم | Boucherie et produits carnés,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1922 | مركز التكوين المهني و التمهين قنزات  | قنزات_سطيف,undefined,2025-02-23,2026-02-22
392,207158,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1922 | مركز التكوين المهني و التمهين قنزات  | قنزات_سطيف,undefined,2025-02-23,2026-02-22
393,207202,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1922 | مركز التكوين المهني و التمهين قنزات  | قنزات_سطيف,undefined,2025-02-23,2026-02-22
394,205542,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1906 | مركز التكوين المهني و التمهين بوقاعة  | بوقاعة_سطيف,undefined,2025-02-23,2026-02-22
395,205547,MME1201 - توازي وموازنة العجلات | Parallélisme et équilibrage des roues,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1906 | مركز التكوين المهني و التمهين بوقاعة  | بوقاعة_سطيف,undefined,2025-02-23,2026-02-22
396,206394,MME1201 - توازي وموازنة العجلات | Parallélisme et équilibrage des roues,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1916 | مركز التكوين المهني و التمهين ماوكلان  | ماوكلان_سطيف,undefined,2025-02-23,2026-02-22
397,206413,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1916 | مركز التكوين المهني و التمهين ماوكلان  | ماوكلان_سطيف,undefined,2025-02-23,2026-02-22
398,206022,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1903 | مركز التكوين المهني و التمهين عين الكبيرة  | العين الكبيرة_سطيف,undefined,2025-02-23,2026-02-22
399,207401,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1909 | مركز التكوين المهني و التمهين  بني عزيز | بني عزيز_سطيف,undefined,2025-02-23,2026-02-22
400,206154,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1910 | مركز التكوين المهني و التمهين بابور | بابور_سطيف,undefined,2025-02-23,2026-02-22
401,208342,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1920 | مركز التكوين المهني و التمهين عموشة  | عموشة_سطيف,undefined,2025-02-23,2026-02-22
402,208425,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1920 | مركز التكوين المهني و التمهين عموشة  | عموشة_سطيف,undefined,2025-02-23,2026-02-22
403,206893,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1921 | مركز التكوين المهني و التمهين الإخوة إسعادي عبد الله و اعمر ـ بوعنداس ـ | بوعنداس_سطيف,undefined,2025-02-23,2026-02-22
404,207086,MME1201 - توازي وموازنة العجلات | Parallélisme et équilibrage des roues,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1921 | مركز التكوين المهني و التمهين الإخوة إسعادي عبد الله و اعمر ـ بوعنداس ـ | بوعنداس_سطيف,undefined,2025-02-23,2026-02-22
405,206427,BTP1201 - التجصيص و تركّيب الصفائح الجصية | Plâtrerie plaquiste,ش.ت.م | CMP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1905 | مركز التكوين المهني و التمهين بئر العرش  | بئر العرش_سطيف,undefined,2025-02-23,2026-08-22
406,206456,BTP1201 - التجصيص و تركّيب الصفائح الجصية | Plâtrerie plaquiste,ش.ت.م | CMP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1902 | مركز التكوين المهني و التمهين ذكور العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-08-22
407,206992,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1924 | مركز التكوين المهني و التمهين جميلة  | جميلة_سطيف,undefined,2025-02-23,2026-02-22
408,207003,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1924 | مركز التكوين المهني و التمهين جميلة  | جميلة_سطيف,undefined,2025-02-23,2026-02-22
409,207068,MME1201 - توازي وموازنة العجلات | Parallélisme et équilibrage des roues,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1924 | مركز التكوين المهني و التمهين جميلة  | جميلة_سطيف,undefined,2025-02-23,2026-02-22
410,209202,MME1201 - توازي وموازنة العجلات | Parallélisme et équilibrage des roues,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1913 | مركز التكوين المهني و التمهين بيضــاء بـرج  | بيضاء برج_سطيف,undefined,2025-02-23,2026-02-22
411,205899,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1925 | مركز التكوين المهني و التمهين سطيف 03 | سطيف_سطيف,undefined,2025-02-23,2026-02-22
412,206054,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1925 | مركز التكوين المهني و التمهين سطيف 03 | سطيف_سطيف,undefined,2025-02-23,2026-02-22
413,206080,MME1201 - توازي وموازنة العجلات | Parallélisme et équilibrage des roues,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1925 | مركز التكوين المهني و التمهين سطيف 03 | سطيف_سطيف,undefined,2025-02-23,2026-02-22
414,206164,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1927 | مركزالتكوين المهني و التمهين حمام قرقور | حمام قرقور_سطيف,undefined,2025-02-23,2026-02-22
415,206207,THC0701 - الخـيـاطــة | Couture,ش.ك.م | CAP,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1927 | مركزالتكوين المهني و التمهين حمام قرقور | حمام قرقور_سطيف,undefined,2025-02-23,2026-02-22
416,207189,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1926 | مركز التكوين المهني و التمهين حمام السخنة  | حمام السخنة_سطيف,undefined,2025-02-23,2026-02-22
417,207317,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1928 | مركز التكوين المهني و التمهين عين طريق  | سطيف_سطيف,undefined,2025-02-23,2026-02-22
418,209185,BTP1214 - التركيب الصحي | Installation sanitaire,ش.ت.م.م | CFPS,نهاية الطور الابتدائي | FIN DU CYCLE PRIMAIRE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1929 | مركز التكوين المهني والتمهين  أولاد تبان  | أولاد تبان_سطيف,undefined,2025-02-23,2026-02-22
419,206009,HRT02Q - صناعة الحلويات الغربية | Pâtisserie occidentale,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-05-22
420,206010,THC04Q - خياطة و تجميع الملابس | Piquage et montage de vêtements,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,تكوين المرأ ة الماكثة في البيت | Femme au Foyer,يهدف هذا التكوين إلى منح النساء الماكثات في البيت تكوينًا يمكنهن من اكتساب مؤهلات وكفاءات في مختلف التخصصات، مما يسمح لهن بالمساهمة في تطوير البلاد من جهة وتلبية احتياجاتهن من جهة أخرى.,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-05-22
421,206011,THC04Q - خياطة و تجميع الملابس | Piquage et montage de vêtements,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,فرع في الوسط الريفي | SECTION MILIEU RURALE,فرع في الوسط الريفي,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-05-22
422,206012,ART02Q - الرسم على القماش و الحرير | Peinture sur tissu et sur soie,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,المعاقين حركيا | HANDICAPES MOTEURS,المعاقين حركيا,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-08-22
423,206013,ART09Q - الفخار/ خيار: الزخرفة | Poterie / Option : Décoration,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,المعاقين حركيا | HANDICAPES MOTEURS,المعاقين حركيا,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-08-22
424,206014,AGR04Q - العناية بالحدائق والمنتزهات | Entretien des parcs et jardins,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,في المؤسسات العقابية | EN MILIEU CARCERAL,التكوين في المؤسسات العقابية,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-05-22
425,206015,BAM03Q - ترميم الأثاث | Restauration de meubles,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,في المؤسسات العقابية | EN MILIEU CARCERAL,التكوين في المؤسسات العقابية,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-08-22
426,206016,BTP03Q - مساعد التركيب الصحي | Aide installateur en sanitaire,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,في المؤسسات العقابية | EN MILIEU CARCERAL,التكوين في المؤسسات العقابية,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-05-22
427,206017,BTP05Q - دهان البنايات | Peintre bâtiment,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,في المؤسسات العقابية | EN MILIEU CARCERAL,التكوين في المؤسسات العقابية,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-05-22
428,212025,AGR04Q - العناية بالحدائق والمنتزهات | Entretien des parcs et jardins,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,تكوين المستفيدين من منحة البطالة | FORMATION BENEFICIAIRE ALLOCATION CHOMAGE,تكوين المستفيدين من منحة البطالة,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-05-22
429,212028,THC04Q - خياطة و تجميع الملابس | Piquage et montage de vêtements,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,تكوين المستفيدين من منحة البطالة | FORMATION BENEFICIAIRE ALLOCATION CHOMAGE,تكوين المستفيدين من منحة البطالة,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-05-22
430,212042,BTP03Q - مساعد التركيب الصحي | Aide installateur en sanitaire,ش.تأهيل.م | CQP,طور محو الأمية منتهي مستوى تعليمي محدود | NIVEAU SCOLAIRE REDUIT CYCLE D’ALPHABETISATION ACH,تكوين المستفيدين من منحة البطالة | FORMATION BENEFICIAIRE ALLOCATION CHOMAGE,تكوين المستفيدين من منحة البطالة,1901 | مركز التكوين المهني و التمهين سطيف | سطيف_سطيف,undefined,2025-02-23,2025-05-22
