ترقيم,رمز العرض,التخصص,الشهادة,المستوى المطلوب,نمط التكوين,التعريف بالنمط,المؤسسة,الداخلية,تاريخ البداية,تاريخ النهاية
158,209176,INT1202 - عـامــــــل في الميكـــرو معلـوماتيـــة | Opérateur micro-informatique,ش.ت.م | CMP,الرابعة متوسط | 4EM ANNEE MOYENNE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1913 | مركز التكوين المهني و التمهين بيضــاء بـرج  | بيضاء برج_سطيف,undefined,2025-02-23,2026-08-22
159,209193,TAG0701 - أمين مخزن | Magasinier,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1913 | مركز التكوين المهني و التمهين بيضــاء بـرج  | بيضاء برج_سطيف,undefined,2025-02-23,2026-02-22
160,206021,TAG1203 -  عون إدراج المعلومات | Agent de saisie,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1915 | مركز التكوين المهني و التمهين بني ورثيلان  | بني ورتيلان_سطيف,undefined,2025-02-23,2026-02-22
161,206034,ELE0701 - كهرباء السيارات | Electricité automobile,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1915 | مركز التكوين المهني و التمهين بني ورثيلان  | بني ورتيلان_سطيف,undefined,2025-02-23,2026-02-22
162,206036,MME0709 - ميكانيك تصليح مركبات الوزن الخفيف | Mécanique réparation des véhicules légers,ش.ت.م | CMP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1915 | مركز التكوين المهني و التمهين بني ورثيلان  | بني ورتيلان_سطيف,undefined,2025-02-23,2026-08-22
163,206042,TAV02Q - Photoshop فوتوشوب | Photoshop,ش.تأهيل.م | CQP,الرابعة متوسط | 4EM ANNEE MOYENNE,التكوين التعاقدي | Formation Conventionnée,"ينظم هذا التكوين في إطار تعاقدي و يوضع حيز التنفيذ على أساس برامج تلبي اإلحتياجات الخاصة للمؤسسات.
يمكن تنظيم هذه التكوينات بطلب من الهيئة على مستوى مؤسسات التكوين المهني، المعاهد و هيئات الدعم، بالتناوب أو في الموقع (المؤسسة).
توجه لعمال المؤسسات و الهيئات العمومية و الخاصة و تمكن العمال من تحسين كفاءاتهم المهنية من أجل تفتحهم الشخصي و تكييف مؤهالتهم مع متطلبات المؤسسة.",1915 | مركز التكوين المهني و التمهين بني ورثيلان  | بني ورتيلان_سطيف,undefined,2025-02-23,2025-04-22
164,206085,ELE0712P - الإلكترو تقني | Electrotechnique,ش.ت.س | BTS,الرابعة متوسط | 4EM ANNEE MOYENNE,التكوين عن طريق المعابر | Formation Passerelle,هو تكوين متواصل موجه للعمال، يندرج ضمن الاستمرارية بين برنامجين يهدفان إلى اكتساب شهادة عالية مقارنة بالشهادة الأساسية. يسمح هذا الجهاز لحاملي شهادة التكوين المهني الذين تتوفر فيهم شروط الالتحاق بالحصول على تكوين عالٍ في نفس التخصص أو في نفس العائلة المهنية.,1934 | المعهدالوطني المتخصص في التكوين المهني  عين ولمان | عين ولمان_سطيف,undefined,2025-02-23,2026-02-22
165,205688,ELE0702 - الكهرباء الصناعية | Electricité industrielle,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1925 | مركز التكوين المهني و التمهين سطيف 03 | سطيف_سطيف,undefined,2025-02-23,2026-02-22
166,205846,ELE0703 - الكهرباء المعمارية | Electricité bâtiment,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1925 | مركز التكوين المهني و التمهين سطيف 03 | سطيف_سطيف,undefined,2025-02-23,2026-02-22
167,205848,ELE0706 - تصليح الأجهزة الكهرومنزلية | Réparation des appareils électroménagers,ش.ت.م | CMP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1925 | مركز التكوين المهني و التمهين سطيف 03 | سطيف_سطيف,undefined,2025-02-23,2026-08-22
